Date,Amount
2022-01-01 06:00:00,935.65
2022-01-01 17:00:00,1165.34
2022-01-02 05:00:00,712.08
2022-01-02 06:00:00,500.89
2022-01-02 10:00:00,1167.11
2022-01-02 11:00:00,1523.2
2022-01-02 20:00:00,701.19
2022-01-02 22:00:00,1366.66
2022-01-03 04:00:00,1013.03
2022-01-03 06:00:00,599.29
2022-01-03 09:00:00,660.55
2022-01-03 21:00:00,1004.74
2022-01-04 03:00:00,878.66
2022-01-04 11:00:00,606.13
2022-01-04 19:00:00,491.79
2022-01-05 00:00:00,745.98
2022-01-05 03:00:00,1058.14
2022-01-05 05:00:00,998.08
2022-01-05 07:00:00,849.63
2022-01-05 23:00:00,1060.57
2022-01-06 01:00:00,1312.01
2022-01-06 07:00:00,1118.24
2022-01-06 13:00:00,963.61
2022-01-06 14:00:00,1278.42
2022-01-06 19:00:00,712.04
2022-01-07 02:00:00,932.52
2022-01-07 03:00:00,939.67
2022-01-07 06:00:00,628.91
2022-01-07 23:00:00,874.04
2022-01-08 00:00:00,377.51
2022-01-08 07:00:00,1573.65
2022-01-08 12:00:00,718.78
2022-01-09 02:00:00,1475.83
2022-01-09 04:00:00,1011.43
2022-01-09 07:00:00,1169.46
2022-01-09 08:00:00,853.36
2022-01-09 16:00:00,1062.38
2022-01-09 18:00:00,1195.15
2022-01-10 01:00:00,1199.37
2022-01-10 05:00:00,1232.43
2022-01-10 06:00:00,889.5
2022-01-10 14:00:00,855.89
2022-01-11 03:00:00,521.75
2022-01-11 07:00:00,1156.97
2022-01-11 10:00:00,1324.71
2022-01-11 17:00:00,1484.79
2022-01-11 19:00:00,1091.55
2022-01-12 01:00:00,770.06
2022-01-12 10:00:00,490.87
2022-01-12 14:00:00,1312.5
2022-01-12 16:00:00,461.12
2022-01-12 19:00:00,897.82
2022-01-13 03:00:00,932.71
2022-01-13 23:00:00,979.16
2022-01-14 00:00:00,1010.74
2022-01-14 01:00:00,1041.44
2022-01-14 03:00:00,275.39
2022-01-14 10:00:00,1004.4
2022-01-14 11:00:00,331.13
2022-01-14 14:00:00,1219.67
2022-01-14 22:00:00,833.46
2022-01-15 05:00:00,352.89
2022-01-15 08:00:00,755.74
2022-01-15 09:00:00,828.98
2022-01-15 10:00:00,1357.21
2022-01-15 13:00:00,1058.99
2022-01-15 15:00:00,1103.33
2022-01-15 23:00:00,1354.37
2022-01-16 07:00:00,971.16
2022-01-16 09:00:00,1226.26
2022-01-16 13:00:00,1205.16
2022-01-16 20:00:00,614.06
2022-01-16 22:00:00,1441.9
2022-01-16 23:00:00,573.91
2022-01-17 01:00:00,1275.21
2022-01-17 13:00:00,544.88
2022-01-17 17:00:00,1180.37
2022-01-18 00:00:00,1558.57
2022-01-18 01:00:00,936.11
2022-01-18 03:00:00,923.09
2022-01-18 15:00:00,1183.13
2022-01-18 16:00:00,901.18
2022-01-18 20:00:00,1545.48
2022-01-19 06:00:00,1057.66
2022-01-19 15:00:00,903.95
2022-01-19 19:00:00,837.91
2022-01-20 00:00:00,720.12
2022-01-20 01:00:00,811.67
2022-01-20 03:00:00,894.8
2022-01-20 10:00:00,853.71
2022-01-20 13:00:00,802.55
2022-01-20 18:00:00,1629.65
2022-01-20 22:00:00,690.97
2022-01-21 02:00:00,1043.99
2022-01-21 04:00:00,1177.76
2022-01-21 05:00:00,1189.03
2022-01-21 07:00:00,982.42
2022-01-21 11:00:00,927.79
2022-01-21 21:00:00,1135.46
2022-01-21 23:00:00,1079.96
2022-01-22 08:00:00,922.31
2022-01-22 12:00:00,531.44
2022-01-22 16:00:00,859.62
2022-01-23 03:00:00,656.03
2022-01-23 08:00:00,799.85
2022-01-23 10:00:00,1009.97
2022-01-23 19:00:00,1107.62
2022-01-23 22:00:00,1534.14
2022-01-24 02:00:00,838.78
2022-01-24 11:00:00,1232.39
2022-01-25 03:00:00,1091.79
2022-01-25 09:00:00,1388.8
2022-01-26 01:00:00,1172.87
2022-01-26 06:00:00,697.46
2022-01-26 16:00:00,483.09
2022-01-27 00:00:00,1093.38
2022-01-27 02:00:00,841.46
2022-01-27 11:00:00,705.91
2022-01-27 14:00:00,619.73
2022-01-27 16:00:00,1048.29
2022-01-28 01:00:00,1452.31
2022-01-28 07:00:00,877.4
2022-01-28 16:00:00,1177.08
2022-01-28 20:00:00,969.32
2022-01-29 02:00:00,613.19
2022-01-29 09:00:00,1220.44
2022-01-29 11:00:00,671.59
2022-01-29 16:00:00,1006.49
2022-01-30 00:00:00,897.54
2022-01-30 05:00:00,1267.92
2022-01-30 12:00:00,682.55
2022-01-30 18:00:00,1117.26
2022-01-30 22:00:00,748.06
2022-01-31 00:00:00,846.67
2022-01-31 05:00:00,100.0
2022-01-31 09:00:00,1627.63
2022-01-31 13:00:00,1165.17
2022-01-31 14:00:00,769.8
2022-01-31 15:00:00,662.6
2022-01-31 18:00:00,851.31
2022-01-31 21:00:00,1215.06
2022-01-31 22:00:00,432.37
2022-02-01 00:00:00,957.52
2022-02-01 04:00:00,1531.19
2022-02-01 08:00:00,659.82
2022-02-01 22:00:00,1024.12
2022-02-02 07:00:00,1660.99
2022-02-02 08:00:00,1189.65
2022-02-03 11:00:00,1037.78
2022-02-03 17:00:00,1151.99
2022-02-03 20:00:00,879.74
2022-02-04 03:00:00,1389.89
2022-02-04 04:00:00,880.2
2022-02-04 12:00:00,412.25
2022-02-04 13:00:00,882.61
2022-02-04 17:00:00,709.98
2022-02-05 03:00:00,915.64
2022-02-05 04:00:00,922.27
2022-02-05 12:00:00,1359.23
2022-02-05 16:00:00,1208.59
2022-02-06 02:00:00,1078.98
2022-02-06 09:00:00,999.12
2022-02-06 16:00:00,682.34
2022-02-06 20:00:00,345.65
2022-02-07 08:00:00,1033.95
2022-02-07 10:00:00,1238.39
2022-02-07 17:00:00,967.5
2022-02-07 19:00:00,839.54
2022-02-07 23:00:00,1139.35
2022-02-08 16:00:00,975.0
2022-02-09 00:00:00,1505.72
2022-02-09 07:00:00,1369.82
2022-02-09 09:00:00,1287.85
2022-02-09 17:00:00,1227.32
2022-02-09 23:00:00,612.95
2022-02-10 00:00:00,1198.9
2022-02-10 03:00:00,1112.9
2022-02-10 04:00:00,1181.93
2022-02-10 10:00:00,1147.78
2022-02-10 11:00:00,1135.83
2022-02-10 20:00:00,1810.26
2022-02-11 00:00:00,977.14
2022-02-11 09:00:00,1280.9
2022-02-11 12:00:00,858.7
2022-02-12 01:00:00,1237.19
2022-02-12 04:00:00,1281.8
2022-02-12 18:00:00,1109.33
2022-02-12 19:00:00,1500.77
2022-02-13 02:00:00,734.72
2022-02-13 03:00:00,853.83
2022-02-13 13:00:00,1063.71
2022-02-13 20:00:00,1264.24
2022-02-14 00:00:00,1053.83
2022-02-14 05:00:00,1385.73
2022-02-14 07:00:00,801.49
2022-02-14 09:00:00,657.83
2022-02-14 19:00:00,1092.44
2022-02-15 04:00:00,976.85
2022-02-15 07:00:00,1162.86
2022-02-15 12:00:00,991.78
2022-02-15 23:00:00,897.99
2022-02-16 02:00:00,977.52
2022-02-16 04:00:00,1008.65
2022-02-16 09:00:00,908.51
2022-02-16 10:00:00,939.06
2022-02-16 17:00:00,878.92
2022-02-16 18:00:00,1257.0
2022-02-17 03:00:00,1058.21
2022-02-17 19:00:00,1677.03
2022-02-18 22:00:00,1048.21
2022-02-18 23:00:00,834.74
2022-02-19 06:00:00,1801.2
2022-02-19 14:00:00,1124.09
2022-02-19 16:00:00,1297.04
2022-02-19 21:00:00,1177.63
2022-02-20 01:00:00,1186.9
2022-02-20 02:00:00,1160.7
2022-02-20 06:00:00,669.37
2022-02-20 15:00:00,1110.26
2022-02-21 00:00:00,602.54
2022-02-21 03:00:00,947.69
2022-02-21 07:00:00,782.31
2022-02-21 08:00:00,1107.24
2022-02-21 22:00:00,1100.24
2022-02-21 23:00:00,1144.34
2022-02-22 11:00:00,1086.19
2022-02-22 13:00:00,817.95
2022-02-23 02:00:00,921.7
2022-02-23 04:00:00,1276.12
2022-02-23 08:00:00,1320.36
2022-02-23 10:00:00,655.97
2022-02-23 16:00:00,540.72
2022-02-23 18:00:00,781.93
2022-02-24 01:00:00,1313.56
2022-02-24 02:00:00,1364.47
2022-02-24 07:00:00,722.59
2022-02-24 15:00:00,1092.19
2022-02-24 22:00:00,1550.33
2022-02-25 08:00:00,1124.59
2022-02-25 16:00:00,1426.45
2022-02-25 18:00:00,1299.62
2022-02-25 19:00:00,726.94
2022-02-26 02:00:00,943.01
2022-02-26 03:00:00,1010.43
2022-02-26 05:00:00,1031.24
2022-02-26 06:00:00,1274.9
2022-02-26 12:00:00,1122.61
2022-02-26 22:00:00,119.14
2022-02-27 15:00:00,606.15
2022-02-28 01:00:00,343.79
2022-02-28 05:00:00,1052.61
2022-02-28 06:00:00,1072.15
2022-02-28 19:00:00,1084.97
2022-02-28 20:00:00,712.32
2022-02-28 21:00:00,1202.24
2022-03-01 02:00:00,1214.88
2022-03-01 06:00:00,623.46
2022-03-01 07:00:00,560.19
2022-03-01 11:00:00,999.96
2022-03-01 13:00:00,1537.53
2022-03-01 17:00:00,1509.92
2022-03-02 01:00:00,1169.02
2022-03-02 03:00:00,781.0
2022-03-02 08:00:00,1266.05
2022-03-02 10:00:00,864.27
2022-03-02 13:00:00,769.75
2022-03-02 16:00:00,356.81
2022-03-02 17:00:00,1030.71
2022-03-03 10:00:00,811.04
2022-03-03 11:00:00,1028.93
2022-03-03 19:00:00,310.19
2022-03-04 01:00:00,1050.95
2022-03-04 05:00:00,270.66
2022-03-04 10:00:00,1326.38
2022-03-04 15:00:00,1156.57
2022-03-04 22:00:00,916.4
2022-03-05 00:00:00,1168.82
2022-03-05 02:00:00,706.58
2022-03-05 15:00:00,1021.71
2022-03-05 18:00:00,1238.43
2022-03-05 22:00:00,100.0
2022-03-06 18:00:00,865.83
2022-03-06 21:00:00,993.21
2022-03-07 09:00:00,941.11
2022-03-07 12:00:00,1437.13
